Program started
Connected to remote API server
Number of objects in the scene: 26
currentTime = 1.411062, dt = 0.002015
currentTime = 1.413091, dt = 0.002029
currentTime = 1.415128, dt = 0.002037
currentTime = 1.417147, dt = 0.002019
currentTime = 1.419158, dt = 0.002011
currentTime = 1.421176, dt = 0.002017
currentTime = 1.423994, dt = 0.002819
currentTime = 1.426041, dt = 0.002047
currentTime = 1.428051, dt = 0.002009
currentTime = 1.430077, dt = 0.002026
currentTime = 1.432109, dt = 0.002032
currentTime = 1.434124, dt = 0.002015
currentTime = 1.436136, dt = 0.002012
currentTime = 1.438146, dt = 0.002010
currentTime = 1.440159, dt = 0.002013
currentTime = 1.442177, dt = 0.002018
currentTime = 1.444191, dt = 0.002014
currentTime = 1.446230, dt = 0.002039
currentTime = 1.448269, dt = 0.002038
currentTime = 1.450295, dt = 0.002026
currentTime = 1.452305, dt = 0.002010
currentTime = 1.454321, dt = 0.002016
currentTime = 1.456329, dt = 0.002009
currentTime = 1.458354, dt = 0.002024
currentTime = 1.460375, dt = 0.002021
currentTime = 1.462395, dt = 0.002020
currentTime = 1.464424, dt = 0.002029
currentTime = 1.466445, dt = 0.002021
currentTime = 1.468455, dt = 0.002010
currentTime = 1.470467, dt = 0.002013
currentTime = 1.472485, dt = 0.002018
currentTime = 1.474557, dt = 0.002072
Here here. 0.004875, 0.006305, 0.008242
currentTime = 1.476569, dt = 0.002012
currentTime = 1.478580, dt = 0.002011
currentTime = 1.480601, dt = 0.002021
currentTime = 1.482613, dt = 0.002013
currentTime = 1.484640, dt = 0.002026
currentTime = 1.486648, dt = 0.002009
currentTime = 1.488664, dt = 0.002016
currentTime = 1.490673, dt = 0.002009
currentTime = 1.492681, dt = 0.002008
currentTime = 1.494687, dt = 0.002006
currentTime = 1.496697, dt = 0.002009
currentTime = 1.498725, dt = 0.002028
currentTime = 1.500739, dt = 0.002015
currentTime = 1.504049, dt = 0.003310
currentTime = 1.506089, dt = 0.002040
currentTime = 1.508117, dt = 0.002027
currentTime = 1.510170, dt = 0.002053
currentTime = 1.512182, dt = 0.002012
currentTime = 1.514193, dt = 0.002011
currentTime = 1.516222, dt = 0.002029
currentTime = 1.518243, dt = 0.002021
currentTime = 1.520258, dt = 0.002014
currentTime = 1.522271, dt = 0.002013
currentTime = 1.524281, dt = 0.002010
currentTime = 1.526289, dt = 0.002008
currentTime = 1.528299, dt = 0.002011
currentTime = 1.530310, dt = 0.002011
currentTime = 1.532321, dt = 0.002011
currentTime = 1.534349, dt = 0.002028
currentTime = 1.536359, dt = 0.002010
currentTime = 1.538365, dt = 0.002006
currentTime = 1.540521, dt = 0.002157
currentTime = 1.542529, dt = 0.002008
currentTime = 1.544537, dt = 0.002008
currentTime = 1.546565, dt = 0.002027
currentTime = 1.548585, dt = 0.002020
currentTime = 1.550596, dt = 0.002012
currentTime = 1.552605, dt = 0.002009
currentTime = 1.554618, dt = 0.002013
currentTime = 1.556628, dt = 0.002010
currentTime = 1.558660, dt = 0.002032
currentTime = 1.561817, dt = 0.003157
